transactionId,accountId,customerId,transactionType,amount,transactionDate,merchant,location,status
TXN001,ACC001,CUST001,CREDIT,5500.00,2024-01-01,Salary Deposit,New York,SUCCESS
TXN002,ACC001,CUST001,DEBIT,1250.00,2024-01-02,Rent Payment,New York,SUCCESS
TXN003,ACC001,CUST001,DEBIT,85.50,2024-01-03,Whole Foods Market,New York,SUCCESS
TXN004,ACC001,CUST001,DEBIT,45.00,2024-01-04,Netflix,New York,SUCCESS
TXN005,ACC001,CUST001,DEBIT,12.99,2024-01-05,Spotify,New York,SUCCESS
TXN006,ACC002,CUST002,CREDIT,3200.00,2024-01-01,Salary Deposit,Los Angeles,SUCCESS
TXN007,ACC002,CUST002,DEBIT,1800.00,2024-01-02,Rent Payment,Los Angeles,SUCCESS
TXN008,ACC002,CUST002,DEBIT,220.75,2024-01-03,Costco,Los Angeles,SUCCESS
TXN009,ACC002,CUST002,DEBIT,65.40,2024-01-04,Target,Los Angeles,SUCCESS
TXN010,ACC002,CUST002,DEBIT,28.50,2024-01-05,Starbucks,Los Angeles,SUCCESS
TXN011,ACC003,CUST003,CREDIT,4800.00,2024-01-01,Freelance Payment,Chicago,SUCCESS
TXN012,ACC003,CUST003,DEBIT,1500.00,2024-01-02,Rent Payment,Chicago,SUCCESS
TXN013,ACC003,CUST003,DEBIT,95.20,2024-01-03,Trader Joe's,Chicago,SUCCESS
TXN014,ACC003,CUST003,DEBIT,55.00,2024-01-04,Amazon Prime,Chicago,SUCCESS
TXN015,ACC003,CUST003,DEBIT,35.00,2024-01-05,Gas Station,Chicago,SUCCESS
TXN016,ACC004,CUST004,CREDIT,6200.00,2024-01-01,Bonus Payment,Houston,SUCCESS
TXN017,ACC004,CUST004,DEBIT,1100.00,2024-01-02,Mortgage Payment,Houston,SUCCESS
TXN018,ACC004,CUST004,DEBIT,180.30,2024-01-03,Walmart,Houston,SUCCESS
TXN019,ACC004,CUST004,DEBIT,75.60,2024-01-04,Home Depot,Houston,SUCCESS
TXN020,ACC004,CUST004,DEBIT,42.25,2024-01-05,Chipotle,Houston,SUCCESS
TXN021,ACC005,CUST005,CREDIT,2900.00,2024-01-01,Part-time Job,Phoenix,SUCCESS
TXN022,ACC005,CUST005,DEBIT,950.00,2024-01-02,Rent Payment,Phoenix,SUCCESS
TXN023,ACC005,CUST005,DEBIT,125.80,2024-01-03,Safeway,Phoenix,SUCCESS
TXN024,ACC005,CUST005,DEBIT,29.99,2024-01-04,Hulu,Phoenix,SUCCESS
TXN025,ACC005,CUST005,DEBIT,18.50,2024-01-05,Subway,Phoenix,SUCCESS
TXN026,ACC001,CUST001,CREDIT,150.00,2024-01-06,Cashback Reward,New York,SUCCESS
TXN027,ACC001,CUST001,DEBIT,89.99,2024-01-06,Amazon,New York,SUCCESS
TXN028,ACC001,CUST001,DEBIT,25.00,2024-01-07,Parking Garage,New York,SUCCESS
TXN029,ACC001,CUST001,DEBIT,120.00,2024-01-08,Utility Bill,New York,SUCCESS
TXN030,ACC001,CUST001,DEBIT,67.45,2024-01-09,Restaurant,New York,SUCCESS
TXN031,ACC002,CUST002,CREDIT,200.00,2024-01-06,Investment Return,Los Angeles,SUCCESS
TXN032,ACC002,CUST002,DEBIT,156.78,2024-01-06,Uber,Los Angeles,SUCCESS
TXN033,ACC002,CUST002,DEBIT,89.50,2024-01-07,Nordstrom,Los Angeles,SUCCESS
TXN034,ACC002,CUST002,DEBIT,45.00,2024-01-08,Phone Bill,Los Angeles,SUCCESS
TXN035,ACC002,CUST002,DEBIT,92.30,2024-01-09,Grocery Store,Los Angeles,SUCCESS
TXN036,ACC003,CUST003,CREDIT,500.00,2024-01-06,Gift Payment,Chicago,SUCCESS
TXN037,ACC003,CUST003,DEBIT,78.90,2024-01-06,Apple Store,Chicago,SUCCESS
TXN038,ACC003,CUST003,DEBIT,34.56,2024-01-07,Coffee Shop,Chicago,SUCCESS
TXN039,ACC003,CUST003,DEBIT,145.00,2024-01-08,Clothing Store,Chicago,SUCCESS
TXN040,ACC003,CUST003,DEBIT,56.78,2024-01-09,Pharmacy,Chicago,SUCCESS
TXN041,ACC004,CUST004,CREDIT,350.00,2024-01-06,Dividend Payment,Houston,SUCCESS
TXN042,ACC004,CUST004,DEBIT,234.56,2024-01-06,Electronics Store,Houston,SUCCESS
TXN043,ACC004,CUST004,DEBIT,67.89,2024-01-07,Fast Food,Houston,SUCCESS
TXN044,ACC004,CUST004,DEBIT,123.45,2024-01-08,Department Store,Houston,SUCCESS
